datetime,event,venue,comment
2013-08-21T10:00:00-04:00,DC Statehood Rally and Mayor’s Bi-Weekly Press Briefing ,"The District of Columbia War Memorial 1900 block of Independence Avenue SW (across from Martin Luther King, Jr. Memorial)(Media: Open)","Mayor to Offer Remarks on Saturday’s 50th Anniversary of the March on Washington
	 "
2013-08-21T14:15:00-04:00,Topping-Off Ceremony for Senior Housing at the CityMarket at O Development ,CityMarket at O 1490 7th Street NW (Media: Open),"Mayor to Offer Remarks Celebrating New Affordable Housing
	 "
2013-08-21T19:00:00-04:00,Worship Service to Begin Celebration for the 50th Anniversary of the March on Washington,Mount Airy Baptist Church 1100 North Capitol Street NW (Media: Open),"Mayor to Offer Remarks
	 "
2013-08-22T10:00:00-04:00,Ben’s Chili Bowl 55th Birthday Celebration ,Ben’s Chili Bowl 1213 U Street NW (Media: Open),Mayor to Offer Remarks and Present Proclamation 
2013-08-22T12:00:00-04:00,Chuck Brown Memorial Park at Langdon Ground-Breaking Ceremony,Chuck Brown Park at Langdon site 2901 20th Street NE (Media: Open),Mayor to Offer Remarks and Break Ground on Park to Honor the Late Go-go Legend
2013-08-23T10:00:00-04:00,Live Media Interview: NewsChannel 8’s NewsTalk with Bruce DePuyt,"WJLA Studios 1100 Wilson Boulevard Arlington, VA",Live Media Interview
2013-08-23T13:00:00-04:00,Department of Human Services One City Summer Back-to-School Cookout,DC General Hospital 1900 Massachusetts Avenue SE (Media: Closed),Mayor to Offer Remarks
2013-08-23T15:00:00-04:00,Drum Majors for Justice Future Leaders Celebration,Freedom Plaza Pennsylvania Avenue between 13th & 14th Streets NW (Media: Open),Mayor to Offer Remarks
2013-08-23T17:30:00-04:00,What’s the Unfinished Business for the LGBT Community?  A Conversation and Reception,Rayburn House Office Building Foyer 45 Independence Avenue SW (Media: Open),Freedom Plaza Pennsylvania Avenue between 13th & 14th Streets NW (Media: Open)
2013-08-23T18:15:00-04:00,Mayor’s 50th Anniversary of the March on Washington Welcome Reception,Willard InterContinental Hotel Willard Room (off lobby) 1401 Pennsylvania Avenue NW (Media: Open for the Mayor’s remarks only),Mayor to Offer Remarks
2013-08-24T08:00:00-04:00,DC Statehood Rally and March,DC War Memorial Located on Independence Avenue between the Lincoln Memorial and 17th Street NW on the National Mall(Media: Open),"Mayor to Offer Remarks
	 "
2013-08-24T09:30:00-04:00, 50th Anniversary of the March on Washington March and Rally,The Lincoln Memorial West end of the National Mall (Media: Open),"Mayor to Offer Remarks and Participate in March
	 "
2013-08-25T10:00:00-04:00,Mayor’s Weekly Radio Address on All-News 99.1-FM WNEW,,"Mayor to Offer Remarks
	 "
2013-08-26T08:15:00-04:00,First Day of School Tour,,"Mayor to Visit Schools. Times Are Approximate- 10:30 am : McKinley Middle School at McKinley Tech Education Campus, 101 T Street NE; 1:30 pm:DC Scholars Public Charter School, 5601 East Capitol Street SE;
	2:30 pm: Achievement Preparatory Academy, 1500 Mississippi Avenue SE"
2013-08-26T12:00:00-04:00,Delta Sigma Theta Thank You Event,Carnegie Library at Mount Vernon Square 801 K Street NW (Media: Open),"Mayor to Offer Remarks
	 "
2013-08-27T08:30:00-04:00,Destination DC’s Annual Marketing Outlook Meeting ,Walter E. Washington Convention Center 801 Mount Vernon Place NW (Media: Open),"Mayor to Offer Remarks
	 "
